,0,1,0,1,0,1
627,바다,NNG,.,SF,처음,Noun
628,전망,NNG,우리,NP,먹어,Verb
629,으로,JKB,는,JX,봤는데,Verb
630,회,NNB,우럭,NNG,씹히는,Verb
631,를,JKO,中,NNG,맛,Noun
632,뜨,VV,+,SY,이,Josa
633,어서,EC,광어,NNG,일품,Noun
634,바로,MAG,中,NNG,이,Josa
635,맛,NNG,+,SY,더,Noun
636,보,VV,오징어,NNG,라는,Josa
637,ㄹ,ETM,1,SN,.,Punctuation
638,수,NNB,+,SY,깨끗히,Adjective
639,도,JX,멍게,NNG,잘,Verb
640,있,VX,2,SN,씻어진,Verb
641,다,EF,+,SY,채소,Noun
642,.,SF,쥐치,NNG,상추,Noun
643,우리,NP,1,SN,가,Josa
644,는,JX,이렇게,MAG,특이했다,Adjective
645,입시,NNG,포장,NNG,.,Punctuation
646,ㄹ,JKO,을,JKO,모든,Noun
647,시간,NNG,해서,VV+EC,회,Noun
648,이,JKS,5,SN,가,Josa
649,되,VV,만,NR,다,Adverb
650,어,EC,원,NNBC,맛있었고,Adjective
651,회,NNB,.,SF,재,Noun
652,를,JKO,횟집,NNG,방문,Noun
653,포장,NNG,에서,JKB,100%,Number
654,하,XSV,포장,NNG,탕탕,Adverb
655,아서,EC,해,XSV+EC,탕,Noun
656,가,VV,오,VV,때,Noun
657,기,ETN,는,ETM,묻지,Verb
658,로,JKB,것,NNB,않은,Verb
659,하,VV,보다,JKB,물치,Verb
660,았,EP,싸,VA,해수욕장,Noun
661,다,EF,다,EF,(,Punctuation
662,.,SF,둘,NR,물치,Verb
663,2,SN,이,JKS,해변,Noun
664,층,XSN,먹,VV,),Punctuation
665,연희,NNP,는데,EC,의,Noun
666,네,XSN,양,NNG,정취,Noun
667,횟집,NNG,이,JKS,.,Punctuation
668,010,SN,많,VA,양양,Noun
669,-,SW,아서,EC,의,Josa
670,7671,SN,남,VV,포토,Noun
671,-,SW,았,EP,스팟,Noun
672,5610,SN,다는,ETM,빨간,Adjective
673,/,SP,.,SF,등대,Noun
674,033,SN,.;;,SY,가,Josa
675,-,SW,성인,NNG,있는,Adjective
676,671,SN,3,SN,물치항,Noun
677,-,SW,명,NNBC,그리고,Conjunction
678,2649,SN,배불리,MAG,..,Punctuation
679,싱싱,XR,먹,VV,맛있는,Adjective
680,하,XSA,을,ETM,회,Noun
681,아,EC,수,NNB,를,Josa
682,보이,VV,있,VV,싸고,Verb
683,는,ETM,는,ETM,맛있게,Adjective
684,횟감,NNG,양,NNB,즐길,Verb
685,.,SF,이,VCP,수,Noun
686,우리,NP,다,EF,있던,Adjective
687,는,JX,.,SF,물치항,Noun
688,우럭,NNP,가,JKS,회,Noun
689,中,SH,성비,NNG,센터,Noun
690,+,SW,좋,VA,.,Punctuation
691,광어,NNG,구요,EF,변치않고,Verb
692,中,SH,맛,NNG,그대로,Noun
693,+,SW,만,JX,있어,Adjective
694,오징어,NNP,있,VX,주,Modifier
695,1,SN,음,ETN,려엄,Noun
696,+,SW,100,SN,물치,Verb
697,멍게,NNP,점,NNBC,해수욕장,Noun
698,2,SN,만점,NNG,강원도,Noun
699,+,SW,.,SY,양양군,Noun
700,쥐치,NNP,쌈,NNG,강현면,Noun
701,1,SN,을,JKO,정암,Noun
702,이렇,VA,3,SN,리,Noun
703,게,EC,천,NR,빨간,Adjective
704,포장,NNG,원,NNBC,송이,Noun
705,을,JKO,에,JKB,등대,Noun
706,하,VV,추가,NNG,강원도,Noun
707,아서,EC,로,JKB,양양군,Noun
708,5,SN,사,VV+EC,강현면,Noun
709,만원,NNP,왔,VX+EP,물치리,Verb
710,.,SF,는데,EC,물치항,Noun
711,횟집,NNG,쌈,NNG,활어회,Noun
712,에서,JKB,조차,JX,센,Verb
713,포장,NNG,도,JX,타,Noun
714,하,XSV,너무,MAG,강원도,Noun
715,아,EC,신선,XR,양양군,Noun
716,오,VV,하,XSA,강현면,Noun
717,는,ETM,고,EC,동해,Noun
718,것,NNB,맘,NNG,대로,Josa
719,보다,MAG,에,JKB,3584,Number
720,싸,VV,들,VV,물치항,Noun
721,다,EC,었,EP,회,Noun
722,둘,NR,다는,ETM,센터,Noun
723,이,JKS,그렇,VA,연희,Noun
724,먹,VV,게,EC,네,Determiner
725,는데,EC,우리,NP,횟집,Noun
726,양이,NNP,의,JKG,강원도,Noun
727,많,VA,두,MM,양양군,Noun
728,아서,EC,번,NNBC,강현면,Noun
729,남,VV,째,XSN,물치리,Verb
730,았,EP,밤,NNG,7-6,Number
731,다는,ETM,.,SY,,
732,..,SE,롯데,NNP,,
733,;,SP,리조트,NNG,,
734,;,SP,속초,NNG,,
735,성인,NNG,에서,JKB,,
736,3,SN,.,SY,,
737,명,NNB,(,SSO,,
738,배불리,MAG,롯데,NNP,,
739,먹,VV,리조트,NNG,,
740,을,ETM,포스팅,NNP,,
741,수,NNB,은,JX,,
742,있,VV,▼,SY,,
743,는,ETM,참고,NNG,,
744,양,NNB,),SSC,,
745,이,VCP,체크인,NNG,,
746,다,EF,후,NNG,,
747,.,SF,회,NNG,,
748,가,XPN,를,JKO,,
749,성비,NNP,먹,VV,,
750,좋,VA,기,ETN,,
751,구요,EC,위해,VV+EC,,
752,맛,NNG,식탁,NNG,,
753,만,JX,셋,NR,,
754,있,VV,팅,IC,,
755,음,ETN,침,NNG,,
756,100,SN,흘리,VV,,
757,점,NNB,며,EC,,
758,만점,NNG,셋,NR,,
759,.,SF,팅,IC,,
760,쌈,NNG,을,JKO,,
761,을,JKO,했,VV+EP,,
762,3,SN,다,EF,,
763,천원,NNP,.,SF,,
764,에,JKB,하하하,IC,,
765,추가,NNG,.,SF,,
766,로,NNG,아이,NNG,,
767,사,VV,들,XSN,,
768,아,EC,밥,NNG,,
769,오,VX,따윈,NNB+JX,,
770,았,EP,중요,XR,,
771,는데,EC,치,XSA+EC,,
772,쌈,NNG,않,VX,,
773,조차,NNP,을,ETM,,
774,도,JX,정도,NNG,,
775,너무,MAG,로,JKB,,
776,신선,XR,내,NP,,
777,하,XSA,가,JKS,,
778,고,EC,좋,VA,,
779,맘,NNG,아,EC,,
780,에,JKB,하,VV,,
781,들,VV,는,ETM,,
782,었,EP,멍게,NNG,,
783,다는,ETM,는,JX,,
784,그렇,VA,진짜,MAG,,
785,게,EC,.,SF,,
786,우리,NP,.,SY,,
787,의,JKG,모든,MM,,
788,두,MM,회,NNG,,
789,번,NNB,가,JKS,,
790,째,XSN,다,MAG,,
791,밤,NNG,쫄깃,XR,,
792,.,SF,하,XSA,,
793,롯데,NNP,고,EC,,
794,리조트,NNP,부드러웠,VA+EP,,
795,속초,NNP,으며,EC,,
796,에서,JKB,싱싱,XR,,
797,.,SF,했,XSA+EP,,
798,(,SS,다,EF,,
799,롯데,NNP,.,SF,,
800,리조트,NNP,쥐치,NNG,,
801,포,NNG,는,JX,,
802,스팅,NNP,처음,MAG,,
803,은,JX,먹,VV,,
804,▼,SW,어,EC,,
805,참고,NNG,봤,VX+EP,,
806,),SS,는데,EC,,
807,체크인,NNG,씹히,VV,,
808,후,NNG,는,ETM,,
809,회,NNB,맛,NNG,,
810,를,JKO,이,JKS,,
811,먹,VV,일품,NNG,,
812,기,ETN,이,JKS,,
813,위하,VV,더,MAG,,
814,아,EC,라는,VCP+ETM,,
815,식탁,NNG,.,SF,,
816,셋팅,NA,깨끗히,MAG,,
817,침,NNG,잘,MAG,,
818,흘리,VV,씻,VV,,
819,며,EC,어,EC,,
820,셋팅을,NA,진,VX+ETM,,
821,하,VV,채소,NNG,,
822,았,EP,상추,NNG,,
823,다,EF,가,JKS,,
824,.,SF,특이,NNG,,
825,하하하,NNP,했,XSV+EP,,
826,.,SF,다,EF,,
827,아이들,NNP,.,SF,,
828,밥,NNG,모든,MM,,
829,따위,NNB,회,NNG,,
830,ㄴ,JX,가,JKS,,
831,중요,XR,다,MAG,,
832,하,XSA,맛있,VA,,
833,지,EC,었,EP,,
834,않,VX,고,EC,,
835,을,ETM,재,XPN,,
836,정도,NNG,방문,NNG,,
837,로,JKB,100,SN,,
838,내,NP,%,SY,,
839,가,JKS,탕탕탕,MAG,,
840,좋아하,VV,때,NNG,,
841,는,ETM,묻,VV,,
842,멍게,NNP,지,EC,,
843,는,JX,않,VX,,
844,진짜,NNG,은,ETM,,
845,.,SF,물치,NNG,,
846,.,SF,해수욕장,NNG,,
847,모든,MM,(,SSO,,
848,회,NNB,물치,NNG,,
849,가,JKS,해변,NNG,,
850,다,MAG,),SSC,,
851,쫄깃,XR,의,JKG,,
852,하,XSA,정취,NNG,,
853,고,EC,.,SY,,
854,부드럽,VA,양양,NNP,,
855,었,EP,의,JKG,,
856,으며,EC,포토,NNG,,
857,싱싱,XR,스팟,NNG,,
858,하,XSA,빨간,VA+ETM,,
859,었,EP,등대,NNG,,
860,다,EF,가,JKS,,
861,.,SF,있,VA,,
862,쥐치,NNP,는,ETM,,
863,는,JX,물치항,NNP,,
864,처음,NNG,그리고,MAJ,,
865,먹,VV,.,SF,,
866,어,EC,.,SY,,
867,보,VX,맛있,VA,,
868,았,EP,는,ETM,,
869,는데,EC,회,NNG,,
870,씹히,VV,를,JKO,,
871,는,ETM,싸,VV,,
872,맛,NNG,고,EC,,
873,이,JKS,맛있,VA,,
874,일품,NNG,게,EC,,
875,이,VCP,즐길,VV+ETM,,
876,더라는,ETM,수,NNB,,
877,.,SF,있,VV,,
878,깨끗히,NA,던,ETM,,
879,잘,MAG,물치항,NNP,,
880,씻,VV,회,NNG,,
881,어,EC,센터,NNG,,
882,지,VX,.,SF,,
883,ㄴ,ETM,변치,VV+EC,,
884,채소,NNP,않,VX,,
885,상추,NNP,고,EC,,
886,가,JKS,그대로,MAG,,
887,특이,XR,있,VV,,
888,하,XSA,어,EC,,
889,었,EP,주,VX,,
890,다,EF,려,EC,,
891,.,SF,엄,IC,,
892,모든,MM,물치,NNG,,
893,회,NNB,해수욕장,NNG,,
894,가,JKS,강원도,NNP,,
895,다,MAG,양양군,NNP,,
896,맛있,VA,강현면,NNP,,
897,었,EP,정암리,NNP,,
898,고,EC,빨간,VA+ETM,,
899,재,XPN,송이,NNG,,
900,방문,NNG,등,NNB,,
901,100,SN,대,XPN,,
902,%,SW,강원도,NNP,,
903,탕탕탕,MAG,양양군,NNP,,
904,때,NNG,강현면,NNP,,
905,묻,VV,물치리,NNP,,
906,지,EC,물치항,NNP,,
907,않,VX,활어,NNG,,
908,은,ETM,회,NNG,,
909,물,NNG,센타,NNP,,
910,치,NNB,강원도,NNP,,
911,해수욕장,NNP,양양군,NNP,,
912,(,SS,강현면,NNP,,
913,물,NNG,동해,NNP,,
914,치,NNB,대로,JKB,,
915,해변,NNP,3584,SN,,
916,),SS,물치항,NNP,,
917,의,JKG,회,NNG,,
918,정취,NNG,센터,NNG,,
919,.,SF,연희,NNP,,
920,양양,NNP,네,XSN,,
921,의,JKG,횟집,NNG,,
922,포토,NNG,강원도,NNP,,
923,스팟,NNP,양양군,NNP,,
924,빨갛,VA,강현면,NNP,,
925,ㄴ,ETM,물치리,NNP,,
926,등대,NNP,7,SN,,
927,가,JKS,-,SY,,
928,있,VV,6,SN,,
929,는,ETM,,,,
930,물치항,NNP,,,,
931,그리고,MAJ,,,,
932,..,SE,,,,
933,맛있,VA,,,,
934,는,ETM,,,,
935,회,NNB,,,,
936,를,JKO,,,,
937,싸,VV,,,,
938,고,EC,,,,
939,맛있,VA,,,,
940,게,EC,,,,
941,즐기,VV,,,,
942,ㄹ,ETM,,,,
943,수,NNB,,,,
944,있,VX,,,,
945,던,ETM,,,,
946,물치항,NNP,,,,
947,회,NNB,,,,
948,센터,NNP,,,,
949,.,SF,,,,
950,변하,VV,,,,
951,지,EC,,,,
952,않,VX,,,,
953,고,EC,,,,
954,그대로,MAG,,,,
955,있,VV,,,,
956,어,EC,,,,
957,주,VX,,,,
958,려,EC,,,,
959,엄,NNG,,,,
960,물,NNG,,,,
961,치,NNB,,,,
962,해수욕장,NNP,,,,
963,강원도,NNP,,,,
964,양양군,NNP,,,,
965,강현면,NNP,,,,
966,정암리,NNP,,,,
967,빨갛,VA,,,,
968,ㄴ,ETM,,,,
969,송이,NNP,,,,
970,등대,NNP,,,,
971,강원도,NNP,,,,
972,양양군,NNP,,,,
973,강현면,NNP,,,,
974,물,NNG,,,,
975,치,XSN,,,,
976,리,NNB,,,,
977,물치항,NNP,,,,
978,활어,NNG,,,,
979,회,NNG,,,,
980,센타,NNG,,,,
981,강원도,NNP,,,,
982,양양군,NNP,,,,
983,강현면,NNP,,,,
984,동해대로,NNP,,,,
985,3584,SN,,,,
986,물치항,NNP,,,,
987,회,NNB,,,,
988,센터,NNP,,,,
989,연희,NNP,,,,
990,네,XSN,,,,
991,횟집,NNG,,,,
992,강원도,NNP,,,,
993,양양군,NNP,,,,
994,강현면,NNP,,,,
995,물,NNG,,,,
996,치,XSN,,,,
997,리,NNB,,,,
998,7,SN,,,,
999,-,SW,,,,
1000,6,SN,,,,
